Label,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
Benign,11.276039935780718,12859332.175863473,12.057106949443698,13.85179715693938,732.9432628263037,22659.507631890585,261.81641804318417,24.64956492840861,73.87704971421904,84.36015819076995
Bot,6.0,561723.6193548387,4.303225806451613,4.703225806451613,4581.4548387096775,93.73870967741935,673.2935483870967,0.7548387096774194,186.0246121935484,197.24573776129031
DDoS,6.0,17019643.524599645,4.478039258214944,3.2438997939485956,31.92618298810686,7349.390087842967,14.869247731627084,2.1973755557965515,7.395029352872068,5.698321140631891
DoS GoldenEye,6.0,22794003.549707603,5.859649122807017,3.6923076923076925,414.0922177237967,6480.417453891138,312.79487179487177,0.0,59.85880196491228,128.89771878902386
DoS Hulk,6.0,76394000.95708281,6.363524403630425,5.61503038740596,374.5326229552087,10391.138470188214,311.3609006452304,0.27501271719632675,59.1541080708123,128.34112971936761
DoS Slowhttptest,6.0,61097869.40619469,5.995575221238938,0.9663716814159292,444.62743362831856,119.98141592920354,161.2070796460177,36.034513274336284,77.7355566637168,58.99206858460177
DoS slowloris,6.0,58803510.86597938,6.6743986254295535,1.6640893470790379,858.8230240549829,18.310137457044675,100.68986254295532,4.407216494845361,66.33277007860825,44.18753059621993
FTP-Patator,6.0,6148826.4032761315,6.771450858034322,10.541341653666146,76.88221528861155,128.14040561622465,20.828393135725427,0.0,10.256586935647425,9.6475919099844
Heartbleed,6.0,71989776.5,1686.0,1263.5,9853.0,4758109.5,5068.0,0.0,8.51094975,161.049565
Infiltration,6.0,93777246.125,515.875,515.5,143699.125,3093.0,1162.375,6.0,269.50242249999997,323.87485875
PortScan,5.971631205673759,8524976.825059101,2.3404255319148937,1.4657210401891252,9.77304964539007,592.3758865248227,9.314420803782506,0.6335697399527187,2.701654841607565,4.164749073286052
SSH-Patator,6.0,11444623.98705036,19.67769784172662,29.5568345323741,1852.293525179856,2534.011510791367,591.4705035971223,0.034532374100719423,87.81386645179856,129.36144760431654
Web Attack � Brute Force,6.0,6910264.858490566,13.720125786163521,6.79874213836478,2403.7987421383646,3948.248427672956,72.28301886792453,0.0,21.84643738993711,31.985856352201257
Web Attack � Sql Injection,6.0,2505410.25,3.0,2.5,280.75,1169.75,280.75,0.0,57.6875,126.61224250000001
Web Attack � XSS,6.0,6894053.943262411,8.652482269503546,3.9574468085106385,1388.4397163120568,5224.851063829788,20.49645390070922,0.0,8.102588297872341,8.850515319148936
